Answer,Enumeration,Clue,Grid Number
DAHLIA,6,Perennial trouble kept coming up,181
GODOWNTHEPAN,"2,4,3,3",Deity confused with pantheon's founder,182
ROARINGTWENTIES,"7,8",Organise written plays portraying decade,182
BELEAGUERING,12,Live conference call's annoying,183
BREXIT,6,Comedic sequence in which king is causing secession,184
UNIT,4,"Soldiers mutiny, blowing covers and scattering",185
SHINDIG,7,Talk of Delhi consumed by second grand celebration,185
REDWINE,"3,4",Perhaps cab driver ultimately gets three points when charged with DWI,186
ROMANCANDLE,"5,6",Story of love and loss fills one with sparks flying,186
PENTUP,4-2,Repressed writer needs to bonk,187
SEVENUP,5-2,How are you drinking flat soda?,188
FLAUTIST,8,Flatus—it involved one tooting,188
NESTEGG,"4,3",Some investing gets enviable returns for savings,189
FATHERHOOD,10,"Having issue with hearth, cooked boring food",190
DIDONESBIT,"3,4,3","Played a role in 'Queen of Carthage', by author of 'The Railway Children'",190
RHINOPLASTIES,13,Nose jobs ruined relationships,190
BLITHERING,10,Talking nonsense in casual call,191
QUINCENTENARY,13,500-year commemoration of toppling tyrannic queen,191
HAIL,4,Bombardment's sound heard,192
INCOMMUNICADO,13,Condominium AC retrofitted to be off the grid,192
ABSEIL,6,Descend by ropes once able-bodied seaman has gathered lateen?,193
CONTRABASSOON,13,Steamship rings implicated in a lot of illegal trade for rare and expensive instrument,193
PROPAGATE,9,Reproduce alto passage below for piano,194
ARCHRIVAL,9,Keeping records about rebellion's first and greatest enemy,194
ONTHEROPES,"2,3,5",Battlefront hero pessimistically admits facing defeat,194
DELIVERYVAN,"8,3",Overhaul of fleet with much-maligned goods vehicle,195
RENT,4,Musical in two parts,196
UPSTAGE,7,Piano solo parts regularly used to steal the show,196
CLEFT,5,Split is Croatia's principal port,197
SINKSIN,"5,2",School's head finalises registers,197
ALARMBELL,"5,4",Everyone takes in sculpture of marble siren,197
ALLEXPENSESPAID,3-8-4,Entirely complimentary review explained lapses,197
ASSASSIN,8,"Killer, with chutzpah, admitted to a crime",198
SPURIOUS,8,Fake poker debts,199
STRATOSPHERIC,13,Orchestra pit's playing extremely high,199
RANCHED,7,Rex did long patrols and barely did farmwork,200
TONIGHT,7,Well-rehearsed crowds performing this evening,200
FORWARD,7,River crossing restricts fighting at the Front,200
PREFABS,7,Quietly judge area with rubbish cookie-cutter houses,200
THISISSPINALTAP,"4,2,6,3",Pianist pals shit all over musical mockumentary,200
EASTERNORTHODOX,"7,8",Type of Christian festival supported by cardinal leads to obsessive deification of cross,200
JOUST,5,"...Juliet"" to remove duel",201
OVATE,5,Roundish oxygen tank with valve at the bottom,201
ANKLE,5,"It's over a foot in length, disrobing Yankee admits",201
MOTHEATEN,4-5,"Shabby Missouri playhouse cutting ""Romeo and...",201
POKERFACE,"5,4","Bluffer's expression is perfect, holding decent high card",201
CONSERVATOIRE,13,Where performers might learn overwrought overreactions,201
OBOES,5,Woodwinds are in the red ties in auditorium,203
CARAMELISATION,14,Italo-American's cooking technique for browning onions?,203
DRAWINGROOM,"7,4",Seduce newlywed in parlour,204
STIFLE,6,Stop saying anything's an anagram of itself!,205
DIORAMA,7,Couturier close to Prada married a model,205
REINFORCEMENTS,14,Check for SEAL's backup,205
ALAS,4,"Newspaper's blown cover identity, unfortunately",206
ERNESTHEMINGWAY,"6,9",Verne's theming waywardly inspires author,206
SPEWED,6,Whiskey stored in barrel gushed forth,207
COGNATE,7,Two bottomless drinks from the same place,207
WARSOFTHEROSES,"4,2,3,5","In Peshawar, soft hero's escalating dynastic struggle",207
MAKINGDO,"6,2",Surviving mass uprising in a kingdom,208
LIKEGANGBUSTERS,"4,11",Ingest bagel and rusk crackers enthusiastically,208
TABOURET,8,Rear in seat on boxes on stool,209
APPLETINI,9,Pale pint? I ordered fruity cocktail!,209
DEVANAGARI,10,Developer introduces a bug right in the middle of AI script,209
BARK,4,Report is part of log,210
GAUD,4,Bauble dug out around first of Advent,211
LIKELIER,8,Rent killer housing that is less remote,211
STOCKINGFILLERS,"8,7",C-list folk singer performing minor Christmas pieces,211
BICEPS,6,Guns from murder case in Paris found near Belgium,212
CHALLENGERS,11,Conservative lobby condemned Greens' opposition candidates?,212
INDUSTRIALISED,14,Double-blind US trial is educating nurses reliant on plants?,212
SAPS,4,Retreats to rear trenches,213
RAFT,4,Flatboat right at back of ship,213
PEPSI,5,On the counter is energy drink,213
HEROES,6,"Saviours in this place were resurrected, reportedly",213
IGNITER,7,I guess gunpowder ingredient from US is what explodes,213
BARMAN,6,In pub he serves bread roll with a starter of nibbles,214
SWAMPLAND,9,"Bog went by water on map, near delta",214
AZURE,5,Street atlas has Yorkshire river in blue,215
GEL,3,Backstage set,216
SAW,3,Gnome wood-cutter,216
ASPENS,6,Animal enclosure wedged in behind trees,216
PENNYANTE,5-4,Unambitious flag-toting Yankee back in Nowheresville,216
SEEDY,5,Sound of CD in bad condition,218
YOKEL,5,Provincial couple heading to London,218
WARMONGER,9,Hawk's gone flying after nearby rook,218
ONSPEAKINGTERMS,"2,8,5",Friendly pranks seeming to upset,218
REST,4,Musical instruction to not play extract aloud,219
PUNT,4,African kingdom with Old Irish coinage and rivercraft?,220
HELOT,5,Spartan slave stole hoplites' shields in uprising,220
LIMEADE,7,Disinformation about alcoholic drink being non-alcoholic drink,222
BLISTERING,10,Second-class antiseptic not entirely good for skin irritation,222
BOXCARS,7,Result of twelve swine coming across ninety,223
MEDIEVAL,8,"""Sea"" (i.e. bog) around in the Middle Ages",223
MONOSEXUAL,10,"Second bouquet given by you—alas, lady's primarily into only one gender",223
DISENCHANTS,11,"Turns off road finally, lost since Hampshire",223
ROTUND,6,Stout barrel in bar,224
RAMPARTS,8,Fortifications reflected gun damage,224
REDADMIRAL,"3,7",Real Madrid repositioned winger,224
ENDEAVOUR,9,Try and finish oral at some point,225
REMONSTRATE,11,Take issue with quantity of apple tarts—no meringue on the counter,225
CATSPAW,4-3,Pawn captures are the safest play against white's openings,226
EIDETIC,7,Photographic and electronic ID with name printed backwards,226
VILLAINY,8,Creeping around bad area for crime,226
INEXACT,6,The first and subsequent catches initially amaze crowd in ballpark,227
PUTONAIRS,"3,2,4",Proustian novel seemed pretentious,227
EARWIG,6,Adjust a wire at bottom of bug to eavesdrop,228
DIRECTNESS,10,Crises tend to require organisation and clarity,228
COLOURSERGEANT,"6,8",NCO or general deployed with scout,228
DANISHPASTRIES,"6,8","Before closing, patisserie hands out baked goods",228
TAIKONAUT,9,Nokia held upside-down by stressed Chinese traveller,230
COMEHELLORHIGHWATER,"4,4,2,4,5",Treat germ here with alcohol regardless of conditions,230
AEROBE,6,Oxygen respirator in part of hospital gown,232
TANGENCY,8,Tesla office holds November meeting,232
ARGOT,5,Earl barely understood local vernacular,233
REARMED,7,Back at sea with new weaponry,233
FLIT,4,Zip file regularly accessed by IT,234
SWATHE,6,Hit-man in bind?,234
WASHROOMS,9,Places that Americans go in Washington to get psychedelics,234
AVISO,5,Navy did ask for hull-less courier vessel,235
NOIRISH,7,Northern Irish eating egg hardboiled?,235
CHARISMA,8,"Spell answer, including ""i""s in it",237
PAELLA,6,Dish made of aluminium bound to be put back,238
YODELLER,8,Singer of Yankee Doodle regularly skipping lines with hesitation,238
HOWITZER,8,At sea with zero cannon,239
BOATRACE,"4,4",Stole evidence in row involving Oxbridge?,239
CORNUCOPIA,10,You fed Iowa with maize in abundance,239
SWAHILI,7,Language of law is amended to cover Hawaii,240
SUNGLASSES,10,"Guns out, meeting young women in beachwear",240
UNGODLIEST,10,Least pious suspect singled out,241
NOGODSNOMASTERS,"2,4,2,7",Anarchist slogan? Goodness—Matron's raving!,241
MILLINER,8,Military ship-worker dealing with Green Berets?,242
SEASHANTIES,"3,8",Folk songs collected by wise Ashanti essayist,242
COMP,4,Provide free state school,244
SEES,4,Witnesses to arrest in hearing,244
DANGER,6,Shoot at exposed hero in peril,244
INTERSTATE,10,Cross-country runner lacking will to tackle runs,244
LOOFAH,6,Ace dessert elevated by hot sponge,245
KNICKERBOCKERED,15,"Nick cycles by kerb with Derek and co., over-dressed in baggy trousers",245
LUDO,4,Say ladies' money aloud in dice game,246
ESCAPEE,7,South Kensington Police initially picked up fugitive?,246
TANTALUM,8,"Brown powder—not carbon, another element",246
SIDESHOW,8,"Second date, in which fashion is not the main attraction",247
GOLDILOCKS,10,House-breaker veteran cracking private security devices,247
ENRICHING,9,Profitable exorcist's opening near fortune-teller,248
INKLING,7,Hunch is going to waste time,249
WISTFUL,7,Fondly reminiscing with setter—can it lead to love?,249
ONAWHIM,"2,1,4",Man who I messed with for no particular reason,250
PYJAMAS,7,Soap factory ultimately preserves a second night shift?,250
SOPRANOS,8,Very quiet tool using echoes to reflect voices,250
STRATAGEMS,10,Plots target mass riots,250
BAGEL,5,Shot able to win golf—there's a hole in one!,251
OCULI,5,"Heads for overclocked computer, uninstalling Linux and installing Windows",251
PROVENANCES,11,Group of unproven ancestral origins,251
CAESURA,7,"Break casanova's cover, lying about a ruse",252
LOTH,4,Unwilling hearts going against destiny,253
CHEROKEE,8,Epic hero keenly protects this nation,253
CINEMATOGRAPHER,15,Filmmaker misrepresented Taichang Emperor,253
WERE,4,Did live broadcast generate buzz?,254
CRIMEANWAR,"7,3",Aircrewman involved in military conflict,254
TRAGICOMIC,10,TIME magazine and i periodical provoking different emotions with story,254
ONE,3,A singular ball bearing,255
RESTLESS,8,Moving piece of trestle's stuck,255
SHOULDERPAD,"8,3",Jacket accessory ought to drape differently,255
OBTAIN,6,Get some rolled blini at bodega,256
TINNITUS,8,Problem in hearing can egg on American,256
HISTORICAL,10,Byzantine chariot is left period-authentic,256
PISCES,6,House with constant odds of success,257
CALLISTO,8,Nymph tempts bathing setter,257
FORESIGHT,9,Preparing for future conflict over natural resources,257
GASGIANT,"3,5",Gravity worked against planet,258
ODIN,4,Sculptor made topless Norse god,259
ALTEREGO,"5,3",Different personality of a lieutenant before getting shot,259
DOMINO,6,Con has MO that includes wearing mask,260
PERSEVERE,9,Soldier on a grave,260
BALUSTRADE,10,Rail and bus interchange overwhelming a learner driver,261
LEMNISCATE,10,"Figure that's not so solemn is Charlie, a chatterbox at heart",261
RAUNCH,6,Start using the other hand for vulgarity,262
ELK,3,Buglers jammed in parallel keys,263
CLOBBER,7,Wear belt,263
NAMETAG,"4,3","""Monsieur H"" written in Hector's ID",263
TIGHTYWHITIES,6-7,"Lace top the reason Josh said ""underwear""",263
OPERATIC,8,Theatrical circle put on adaption of epic featuring singer,264
PISCES,6,House's constant odds of success,265
CHOPSUEY,"4,4",Quick turnaround on pork portions for Chinese-style dish,265
CLOTHESPIN,"7,3","At clubs, see actor without a grip on lines?",265
HIDEOUT,7,Reported great uncertainty in criminals' location,266
VISCOUNTS,9,National Theatre bores thick noblemen,266
THEFT,5,Tons to lift in robbery,267
MONEYED,7,"Setter's holding ace, last of five diamonds forming flush",267
LUCHADOR,8,Athlete with a lot of luck kept getting gold,268
ANGUISHED,9,An iconic display by cast displaying grief,268
SURE,4,"Positive irrational number, almost Euler's number",269
CERTAIN,7,Some research facility storing Microsoft's latest AI,269
RAPUNZEL,8,Imprisoned royal with very strong locks?,270
SCHEDULED,9,Made timetable for school-kid up,271
PRIMADONNA,"5,5",Marketing one popstar as opera singer,271
SCOOBY,6,Second crossworder initially loves Times clue,272
SUBMENU,7,Boat crew joining union to get more options,272
HYDROGENCYANIDE,"8,7","Toxic chemical made by doc yearning to go wild, inhabiting his alter ego",273
WILDE,5,Lied about previously having won writing Oscar,274
ELFIN,5,The end of Don Quixote is fantastically charming,274
SEARED,6,Made brown with blue and another colour,274
ONSTAGE,"2,5",Playing solo during number,274
ESCHEWED,8,Avoided having key cut,274
OUTBOUND,8,Soon going to dominate in the long jump?,274
SAUVIGNON,9,Wine you found in southern French city,274
DEADASADOORNAIL,"4,2,1,8","Soldier on, Ada! (Ada, sadly, is unmistakably deceased)",274
RINGTONE,8,Synthesised air from liquid nitrogen,276
SIEGE,5,"Military assault is going west, and perhaps east",277
INSUBORDINATION,15,"Unions, upset with Britain, do open rebellion",277
SPATE,5,Taps turned on—source of eventual flood,278
CAPISCE,7,California stars mostly got it from mafioso?,278
CURTAILMENT,11,Contracting abrupt illness,278
DEMONSTRATION,13,"Protest tons, helping against bad guys",278
CONTRACEPTION,13,Birth control device plugged by Church of England,278
OVERUSE,7,Make cliché love poem about you,279
DODGEBALL,9,Pentagon has to ask about all missile evasion activity,279
EXPLOITS,8,Old schemes inspiring current adventures,280
UNCOUPLE,8,Family man over love and willing to divorce,280
ACHILLES,8,"Greek hero fell, outflanked by champions",281
INCOGNITO,9,Wearing gear that's cool after being caught wearing camo,281
PIRATESHIP,"6,4",Constant costs in transportation of criminals,281
TORSO,5,Speaker's ripped stitch in upper body,282
CHAMPERS,8,Sparkling white teeth?,282
TOURMALINE,10,Visit quarry to purloin a large gemstone,283
FUNDAMENTALLY,13,"Entertaining lady, knight and count at base",283
LEVELCROSSING,"5,8",Redouble Velcro's single clasps where one might give way,283
REAL,4,Brazilian coin not counterfeit,284
HEARINGAID,"7,3",Sound technology inserted into cranium,284
INBOX,5,I mark zero incorrect in pile of papers,285
DARLING,7,Sweetheart being brave enough to admit onset of love,285
STALWART,8,"Brought about muscles' growth, becoming strong",285
SINGLETON,9,Snitch betrayed individual,286
SASSAFRAS,9,"Tree gall, when covering bark up",286
MESSAGING,9,PR shambles getting old,287
DWEEB,5,"Brainy misfit girl coming out, embracing personal pronoun",288
DUNSTABLE,9,Bedfordshire town in back of beyond hardly settled,288
BLACKNIGHTSHADE,"5,10",Member of Murphy's tribe with cooler knight's hard-wearing blade,288
SOT,3,Drunk having Coke product half-heartedly,289
DONE,4,Last bit of grid I finished,289
PREDATED,8,Came before or went after,289
HARDLINE,8,Uncompromising Taoiseach ultimately ruined Ireland,290
RENEW,5,"Make fresh hotdog rolls, ditching salami at last",291
BYPASS,6,Avoid fish after checking Yelp on vacation,291
TAKEN,5,"Thanks, doll, already in a relationship!",292
KOMPROMAT,9,Blackmail material to strike down MP with—corruption involving mother,292
LEDERHOSEN,10,Light pants on sheer legwear,292
PAISA,5,"Each year, individual savings account gets money from Pakistan",293
AUSPEX,6,Gold symbol—it holds power for fortune-teller,293
DAEDALIAN,9,Nail answer—dead flipping inventive,293
LUSTRATING,10,Deadly sin has Jack getting ceremonially cleansed,293
ANALPHABET,10,"Illiterate person given nitpicky, essentially indecipherable help",293
GAMBOL,6,"Bound, risk escaping trap",294
ISOSCELES,9,Drug penetrates malformed ossicles with mirror symmetry,294
AMERICANGOTHIC,"8,6",Depiction of farmers milling manioc with agritech,294
GRUYERE,7,Cheese from Monterey urgently sent north,295
ANGELCAKES,"5,5","Iced desserts, a snack demolished with glee",295
SICK,4,It was their mistake to herald king poorly,296
THREE,5,Start to train personnel at EE or another phone company,296
MENACE,6,"Threaten kings, perhaps, and another high card",296
SPECTRUM,8,Crumpets on cooking range,296
CONSENSUS,9,ONS breaks national survey agreement,297
EXCRUCIATE,10,"Old cru to name bottles, top-grade in rack",297
CHAFED,6,Raw iron in African country,298
INSPECT,7,Check out boring studmuffin's pectorals,298
SMALLHOURS,"5,5",Shh—it's night time,298
MURMANSK,8,Rum returned to crew at Saskatchewan's Arctic port,299
BERYLLIUM,9,Be confused by miller storing dough fully unwrapped,299
ROSTAND,7,"Playwright's Roman man exits, pursued by bear",300
OPTIMES,7,Work by Cambridge mathematicians,300
SHINDIG,7,Quiet indignation after ousting People's Party,300
RESPECT,7,Admire being lean when bored by muscle,300
ENGORGE,7,Make swollen English organisation downsize at last,300
TITUSANDRONICUS,"5,10",Tudor ass in tunic recast Shakespeare play,300
SPERMATOGENESIS,15,"Development of person's gametes, involving testicles centrally",300
ARC,3,Some car crash at bend,1
HUB,7,Focus on part of rhubarb,1
NPC,"3, inits","No, officer has no free will",1
ERR,3,Stumble into the Earth's core,1
NAHUATL,7,Aztec spooks haunt LA,1
ADAPTOR,7,Twisty road has suitable connection,1
CORELLI,7,Main evil left for Italian violinist,1
ARIZONA,7,State is Rhode Island endless zone in lava,1
DIRTCHEAP,"4,5",Great deal on a mud base,1
FIBONACCI,9,Series of 101 cabin fevers,1
ALGEBRAIC,9,"Symbolic crab agile, crafty",1
WONDERFUL,9,Start of Notre Dame radio broadcast awful or amazing?,1
IRISHCOFFEE,"5,6",Shire office prepared stiff drink,1
BROTHERHOOD,11,Brood about different hydrogen society,1
WOODCARVING,11,"Engraving crown with ""Godiva"", perhaps",1
FOOTTRAFFIC,"4,7",Pedestrians play very loud in attic roof rave,1
BOG,3,Left trap in marsh,2
OWE,3,"Oh, I hear we're in debt",2
EGO,3,Some pure gold for myself,2
KEG,3,Barrel from fake grocer's,2
UZI,3,"In Malibu, zinc is a weapon",2
ESQ,3,"Old title is ""Spanish Queen""",2
ACE,3,Expert redcoat back now and then,2
ELL,3,Chancellor has more than a metre,2
SAKE,4,Wine benefit,2
WORN,4,Used metal or gas?,2
GAIA,4,Soldier stuck in lava and earth,2
JEEP,4,Have to go up after Jack's truck,2
BISHOP,6,Minister is kind of into jazz,2
ORELSE,"2,4",Alternative rock at university,2
QUACKS,6,Frauds acting as a hundred kings,2
PAKORA,6,Useless aura spoke about Indian snack,2
PLUMAGE,7,Down-time after fruit,2
UTOPIAN,7,"Perfect, you beat Ian",2
ENDEMIC,7,"Stop, mice can be native",2
SATSUMA,7,Fruit necessary for going north,2
KINETIC,7,Moving old cows half the strategy,2
NEBULAE,7,Perhaps unable to see last clouds,2
NOXIOUS,7,Harmful polar cow with many debts,2
THEMING,7,Making consistent the Chinese dynasty,2
PERIGEE,7,"For each one, cry for its lowest point",2
POMPEII,7,"I—that is, Dad—return with first men to city",2
HYPOXIA,4,Laughing about stupid poxy one in breathless euphoria,2
VERTIGO,7,"I turn green in Paris first, on the Eiffel Tower, say",2
VINDICATE,9,Acquit five on signal,2
EUCLIDEAN,9,"On instinct, in Lisbon I clean a flat space",2
JABS,4,Shots are indeed German nonsense,3
ATOM,4,The first thirteen are indivisible,3
DOUR,4,We hear the wedding gift is dismal,3
HSBC,"4, inits",High school boot camp starts a bank,3
NASAL,5,Whiny part as fun as always,3
AESOP,5,Present a backward morality play,3
LUCKY,5,"Courageous, penniless and charmed",3
FIEFS,5,Said otherwise in very loud southern estates,3
LEGATO,6,Mostly allowed to smooth,3
SURFER,6,Loud user distracted by right browser,3
BENTON,"4,2",Determined to be first following knights,3
ICECAP,"3,3",Mafia's understood plan without South Pole,3
CAVERNS,7,Caves have to start right now?,3
IMBIBED,7,"Absorbed one tech company, went up to bed",3
NIOBIUM,7,Left nothing in one bin after micro metal,3
JUDAISM,7,"Jack, you stage first melodrama on religion",3
SWITCHBLADES,12,Swap swords for knives?,3
EXTRAVAGANZA,12,Show another five a Brazilian rattle,3
CONQUISTADOR,12,Start to cordon quasi-experimental Spanish soldier,3
HETERODOXIES,12,Straight down eleven en suites—first might cause a schism!,3
OPS,3,Missions can be special?,4
YET,3,Easily etched some until now,4
XIS,3,"Characters follow news, sounds like",4
SOS,3,"Aid request from true Scotsman, first",4
SUMMER,6,Mathematician for a season?,4
SQUADS,6,Troops surrounding plaza in seconds,4
TATTOO,6,Terence has gone back over the top for ink?,4
COHORT,6,Laugh about nothing without the French group,4
HARPOON,7,Marx on Gore?,4
OUTBACK,7,Bush isn't in front,4
LOCATES,7,"Finds set, a colour piece is left",4
VERITAS,7,"Found in wine-silver, I taste some",4
OSMOTIC,7,Kind of pressure to love bad sitcom,4
LIAISON,7,Secret meeting of big cat with androids,4
KRYPTON,8,"Inert gas at point in New York, apparently",4
SCHERZO,7,Lively movement chose right set of numbers for a change,4
FOOTWORK,8,Dancing fork takes love to hear,4
INVOKING,8,"In voiceover, king is bringing it on",4
ARMCANDY,"3,5",Attractive companion can be damn racy!,4
BROOKLYN,8,Low stream first left New York borough,4
ALTEREGO,"5,3",A lieutenant shot after/before evil twin,4
SANTIAGO,8,Capital with small insect and evil parrot,4
JERRYCAN,8,Somehow carry in denim without a fuel tank,4
DISJOINT,8,Nothing in common with Inspector Stone's mate,4
FLAWLESSLY,10,Pilot surrounds criminal impeccably,4
OBTUSENESS,10,An Angle at a loch—sheer stupidity!,4
XENOPHOBES,10,Won't talk to strangers from smashed phone boxes,4
SMOKINGGUN,"7,3",Cat gets king in the Sun for evidence of criminal activity,4
NAY,3,"No, it sounds like a horse",5
ARM,3,Arthur's first man left weapon,5
ILK,3,Somehow like drug-free variety,5
GMO,"3, inits",One good approach altered code?,5
FANG,4,Canine zealot goes first,5
IBEX,4,Live among 1-10 mountain goats,5
MAZE,4,"Puzzle male, penniless woodcutter?",5
JULY,4,Bluejays abandon empty base for a month,5
SCRAWL,6,Small inch of writing,5
SQUIRE,6,I replaced a traditionalist gentleman,5
LAZULI,6,Gemstone 51 has Argentinian blue inlay,5
VENEER,6,Slovene Erika has a misleading appearance,5
CRIMSON,7,"Fraud has lips, red",5
HIDALGO,7,So glad I held up some Spanish nobleman,5
KERATIN,7,Protein family on both sides was in Rome,5
ALLTOLD,"3,4",Counting everything with tall stranger and veteran,5
ETRUSCAN,8,Centaurs adapt Classical language,5
CULDESAC,"3,2,3",Dead-end op leaving vague cloudscape,5
DAEDALUS,8,"Back from Mosul, a dead Greek craftsman",5
HEPTARCH,8,"Cool to desecrate church, says old English king",5
ASK,3,Pose in taffeta skirt,6
BED,3,"Bottom part of Danube, downstream",6
ETH,3,The strange old English character,6
WIT,3,God of war has ascended sense of humour,6
REALM,5,Honest men's domain,6
WHOOP,5,Cry out for women's earring,6
CLARK,5,Lightspeed adventure in Kent,6
OZONE,5,"""Layer Jazz"" finalist in Ring 1",6
SEPIA,5,Ocean has about three cuttlefish,6
QUOIT,5,What French telephone began to ring?,6
ABOMB,1-4,Graduate has mafia backup to make weapon,6
HIPPO,5,Animal is very quiet after greeting last cuckoo,6
THEISM,6,It's mixed up in fringe belief,6
EDITED,6,Cut-edge diamond starts/ends it,6
ENSIGN,6,Standard to ignore 500 bad endings,6
IBERIA,6,Peninsula formerly in Zaire/Biafra,6
SEAWARD,7,"Starts ""Sex Ed Grant"" offshore",6
BACKLIT,7,"Silhouetted, somehow lack outer portion",6
GNOCCHI,7,"Before it sounded like Kai left Congo, mostly for pasta",6
EXEMPTS,7,The former East Timor Senate starts accepting representative privileges,6
HANDOVER,"4,4",Surrender Chinese port city,6
FLAMBEAU,6,Torch with endless flame beloved,6
BYCHANCE,"2,6","Extremely ballsy gamble, as it happens",6
JACQUARD,8,"Loom Jane Austen carried, initially acting as upside-down doorframe",6
PSI,3,Pressure to pursue chi,7
TUN,3,"Barrel weighs a lot, they say",7
ASH,3,Tree concealed Cara's horticulture,7
ILK,3,First three Klingons return to class,7
FLAY,4,Berate for loud sex?,7
ROSA,4,Hides in former Osaka Parks,7
USED,4,Familiar with hand-me-downs,7
AXON,4,Group of animals has no leader—the nerve!,7
EYRIE,5,Dictator's creepy lookout,7
TOOTH,5,Canine also extremely ticklish,7
GRECO,5,Shortly advise in turn like the Hellenes do,7
NAURU,5,Island now a utopia; re-elected usual leaders,7
SIPHON,6,Tap mutiny on ship,7
ABOUND,6,Proliferate a frontier,7
ONHAND,"2,4",Activated script available,7
AWAKES,6,Stirs while holding funeral,7
AFRESH,6,Laugh about slave uprising again,7
ATRIUM,6,Room of endless muriate corrupted,7
INSTIL,6,Disseminate faulty tins; forty-nine!,7
CAJUNS,6,Jack mostly returned UN's ones from Acadia,7
SEVENTY,7,Number of fringe society hold competition,7
BRAZIER,7,"Metalworker, bishop and I go in to destroy Earth's core",7
DEICIDE,7,"Killing God here in France, surrounded by short Germans",7
AVATARS,7,Icons in Java decapitated at a religious site; heads kept,7
QUAGMIRE,8,Mess of papers on yearly meeting,7
VENDETTA,8,Sell Tate gallery in bitter feud,7
ACQUAINT,8,Inform Roman endless water isn't common,7
EYECHART,"3,5",Foolish cheater's last try at testing vision,7
LYONNAISE,9,Mix anise only with onions,7
UNADORNED,9,Plain Spanish woman droned awfully,7
REDEEMERS,9,Saviours of Communist East take on Emerson,7
ROADTAXES,"4,5","Look up ""Sex at Dawn"" or ignore world news; initially paid to drive",7
SUN,3,Paper left in manuscript,8
UFO,"3, inits",Mostly left tofu on saucer,8
EVE,3,Woman characters underdeveloped,8
LYE,3,Some moneylenders rising from ashes?,8
NAIAD,5,Nymph renamed Diana,8
IFNOT,"2,3",Otherwise I empty flagon out without you,8
ADIEU,5,Starts a dissertation; it ends up so long,8
DYADS,5,Pairs extreme debauchery with quick promotions,8
FLANGE,6,Loud angel may be on edge,8
KNELLS,6,Announced Eleanor's tolls,8
CENTRE,6,Even octet not free in spotlight,8
SOIGNE,6,Elegant and terrible agonies start off,8
AUSPICES,8,Australian seasons are omens,8
GAUNTLET,8,Ghent once rented out armour,8
ELLIPSIS,8,Island has pressure omission?,8
MEEKNESS,8,King and nemeses beaten into submission,8
POTAUFEU,3-2-3,"Upset, you enter league above French cuisine",8
JETTISON,8,Throw out black tiger heads and headless buffalo,8
SKIJUMPS,"3,5",Is cheap to hold DJ Thoreau's finals at winter events,8
CLASSACT,"5,3","Accomplished, revolutionary prophet shortly to be covered in powder",8
QUADRANGLE,10,Equal involvement with Grand Court,8
HEADSTONES,10,"At daybreak in East, edges around monuments",8
PICNICAREA,"6,4","Image of one car in north-east, a lunch spot",8
SUSPECTING,10,Assuming American gets jam ingredient in outskirts of Salzburg,8
ESP,"3, inits",Telepathy in particular,9
RNA,"3, inits",Nurse with a quick transcription method,9
GMT,"3, inits",Time for Ghana's firsts (gold medals) too,9
PVC,"3, inits",Makes a record of senior leaving provinces,9
RIOJA,5,Wine made from Ontario jasmine,9
RAVEN,5,Bird found all over in Byzantine varieties,9
QUOTE,5,"Like this', says queen with nothing in truck",9
BOOTH,5,"Assassin messed up, shot uninitiated boy's foot off",9
